name,year,male,female,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Albania,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1987,48.0,25.0,0.0,35.0,13.0,22.0,1.0,2.0
Albania,1988,41.0,22.0,0.0,25.0,10.0,18.0,7.0,3.0
Albania,1989,53.0,15.0,0.0,17.0,20.0,22.0,7.0,2.0
Albania,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1992,33.0,14.0,0.0,16.0,11.0,14.0,6.0,0.0
Albania,1993,46.0,27.0,2.0,28.0,16.0,17.0,9.0,1.0
Albania,1994,35.0,15.0,1.0,12.0,10.0,11.0,12.0,4.0
Albania,1995,54.0,34.0,8.0,24.0,20.0,22.0,11.0,3.0
Albania,1996,50.0,39.0,3.0,33.0,24.0,21.0,4.0,4.0
Albania,1997,118.0,52.0,10.0,54.0,52.0,37.0,12.0,5.0
Albania,1998,96.0,58.0,3.0,59.0,36.0,38.0,15.0,3.0
Albania,1999,91.0,48.0,1.0,43.0,32.0,36.0,20.0,7.0
Albania,2000,38.0,16.0,1.0,11.0,20.0,9.0,10.0,3.0
Albania,2001,84.0,35.0,8.0,19.0,26.0,46.0,17.0,3.0
Albania,2002,91.0,42.0,2.0,29.0,30.0,50.0,17.0,5.0
Albania,2003,73.0,51.0,4.0,29.0,18.0,41.0,25.0,7.0
Albania,2004,89.0,57.0,4.0,39.0,27.0,56.0,13.0,7.0
Albania,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2007,77.0,47.0,4.0,26.0,17.0,43.0,23.0,11.0
Albania,2008,99.0,61.0,8.0,31.0,30.0,56.0,28.0,7.0
Albania,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2010,61.0,35.0,2.0,16.0,15.0,32.0,27.0,4.0
Albania,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anguilla,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2011,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anguilla,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
