name,year,male,female,5-14 years,15-24 years,25-34 years,35-54 years,55-74 years,75+ years
Albania,1996,50.0,39.0,3.0,33.0,24.0,21.0,4.0,4.0
Albania,1997,118.0,52.0,10.0,54.0,52.0,37.0,12.0,5.0
Albania,1998,96.0,58.0,3.0,59.0,36.0,38.0,15.0,3.0
Albania,1999,91.0,48.0,1.0,43.0,32.0,36.0,20.0,7.0
Albania,2000,38.0,16.0,1.0,11.0,20.0,9.0,10.0,3.0
Albania,2001,84.0,35.0,8.0,19.0,26.0,46.0,17.0,3.0
Albania,2002,91.0,42.0,2.0,29.0,30.0,50.0,17.0,5.0
Albania,2003,73.0,51.0,4.0,29.0,18.0,41.0,25.0,7.0
Albania,2004,89.0,57.0,4.0,39.0,27.0,56.0,13.0,7.0
Albania,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2007,77.0,47.0,4.0,26.0,17.0,43.0,23.0,11.0
Albania,2008,99.0,61.0,8.0,31.0,30.0,56.0,28.0,7.0
Albania,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2010,61.0,35.0,2.0,16.0,15.0,32.0,27.0,4.0
Albania,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,All,967.0,541.0,50.0,389.0,327.0,465.0,211.0,66.0
Anguilla,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anguilla,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2011,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anguilla,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,All,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Antigua and Barbuda,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2000,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Antigua and Barbuda,2001,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Antigua and Barbuda,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Antigua and Barbuda,2004,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Antigua and Barbuda,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2007,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Antigua and Barbuda,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2015,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Antigua and Barbuda,All,8.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0
Argentina,1996,1697.0,532.0,23.0,385.0,278.0,700.0,595.0,248.0
Argentina,1997,1645.0,539.0,30.0,373.0,285.0,666.0,588.0,242.0
Argentina,1998,1821.0,526.0,36.0,441.0,303.0,655.0,658.0,254.0
Argentina,1999,1930.0,493.0,41.0,456.0,315.0,686.0,677.0,248.0
Argentina,2000,2224.0,550.0,39.0,579.0,394.0,752.0,735.0,275.0
Argentina,2001,2456.0,676.0,53.0,684.0,457.0,835.0,796.0,307.0
Argentina,2002,2459.0,703.0,60.0,700.0,503.0,813.0,794.0,292.0
Argentina,2003,2605.0,684.0,62.0,817.0,525.0,821.0,724.0,340.0
Argentina,2004,2467.0,654.0,68.0,812.0,544.0,784.0,636.0,277.0
Argentina,2005,2394.0,664.0,73.0,786.0,555.0,710.0,650.0,284.0
Argentina,2006,2496.0,612.0,65.0,831.0,588.0,745.0,602.0,277.0
Argentina,2007,2346.0,600.0,79.0,723.0,616.0,726.0,546.0,256.0
