country,year,sex,age,suicides_no,population
Romania,2007,female,15-24 years,24.0,1555447.0
Romania,2007,female,25-34 years,45.0,1686938.0
Romania,2007,female,35-54 years,159.0,3054484.0
Romania,2007,female,5-14 years,7.0,1084690.0
Romania,2007,female,55-74 years,144.0,2350957.0
Romania,2007,female,75+ years,67.0,791656.0
Romania,2007,male,15-24 years,136.0,1626508.0
Romania,2007,male,25-34 years,250.0,1769266.0
Romania,2007,male,35-54 years,851.0,3011852.0
Romania,2007,male,5-14 years,13.0,1141212.0
Romania,2007,male,55-74 years,596.0,1916195.0
Romania,2007,male,75+ years,138.0,485821.0
Romania,2008,female,15-24 years,30.0,1526352.0
Romania,2008,female,25-34 years,38.0,1674401.0
Romania,2008,female,35-54 years,133.0,3048866.0
Romania,2008,female,5-14 years,7.0,1069130.0
Romania,2008,female,55-74 years,175.0,2371605.0
Romania,2008,female,75+ years,63.0,815912.0
Romania,2008,male,15-24 years,174.0,1594080.0
Romania,2008,male,25-34 years,235.0,1758439.0
Romania,2008,male,35-54 years,840.0,3015279.0
Romania,2008,male,5-14 years,17.0,1125707.0
Romania,2008,male,55-74 years,604.0,1933448.0
Romania,2008,male,75+ years,156.0,500584.0
Romania,2009,female,15-24 years,39.0,1491923.0
Romania,2009,female,25-34 years,32.0,1658906.0
Romania,2009,female,35-54 years,131.0,3055180.0
Romania,2009,female,5-14 years,10.0,1054871.0
Romania,2009,female,55-74 years,124.0,2388417.0
Romania,2009,female,75+ years,53.0,838699.0
Romania,2009,male,15-24 years,163.0,1556450.0
Romania,2009,male,25-34 years,275.0,1744278.0
Romania,2009,male,35-54 years,940.0,3031317.0
Romania,2009,male,5-14 years,14.0,1111827.0
Romania,2009,male,55-74 years,646.0,1946544.0
Romania,2009,male,75+ years,159.0,512470.0
Romania,2010,female,15-24 years,38.0,1433832.0
Romania,2010,female,25-34 years,36.0,1649535.0
Romania,2010,female,35-54 years,147.0,3050480.0
Romania,2010,female,5-14 years,5.0,1050796.0
Romania,2010,female,55-74 years,177.0,2425485.0
Romania,2010,female,75+ years,59.0,861006.0
Romania,2010,male,15-24 years,177.0,1495092.0
Romania,2010,male,25-34 years,263.0,1734890.0
Romania,2010,male,35-54 years,995.0,3038553.0
Romania,2010,male,5-14 years,11.0,1107850.0
Romania,2010,male,55-74 years,704.0,1977886.0
Romania,2010,male,75+ years,154.0,523244.0
Romania,2011,female,15-24 years,30.0,1379354.0
Romania,2011,female,25-34 years,30.0,1635487.0
Romania,2011,female,35-54 years,117.0,3048485.0
Romania,2011,female,5-14 years,3.0,1046640.0
Romania,2011,female,55-74 years,152.0,2450665.0
Romania,2011,female,75+ years,62.0,884450.0
Romania,2011,male,15-24 years,186.0,1438023.0
Romania,2011,male,25-34 years,233.0,1719127.0
Romania,2011,male,35-54 years,896.0,3050462.0
Romania,2011,male,5-14 years,16.0,1104004.0
Romania,2011,male,55-74 years,668.0,2000334.0
Romania,2011,male,75+ years,143.0,534670.0
Romania,2012,female,15-24 years,27.0,1168598.0
Romania,2012,female,25-34 years,32.0,1373925.0
Romania,2012,female,35-54 years,112.0,2816257.0
Romania,2012,female,5-14 years,5.0,1043161.0
Romania,2012,female,55-74 years,135.0,2465486.0
Romania,2012,female,75+ years,42.0,927366.0
Romania,2012,male,15-24 years,156.0,1240383.0
Romania,2012,male,25-34 years,253.0,1438391.0
Romania,2012,male,35-54 years,903.0,2880956.0
Romania,2012,male,5-14 years,11.0,1100497.0
Romania,2012,male,55-74 years,667.0,2037178.0
Romania,2012,male,75+ years,152.0,549396.0
Romania,2013,female,15-24 years,22.0,1124343.0
Romania,2013,female,25-34 years,29.0,1355015.0
Romania,2013,female,35-54 years,119.0,2811283.0
Romania,2013,female,5-14 years,6.0,1038632.0
Romania,2013,female,55-74 years,135.0,2471792.0
Romania,2013,female,75+ years,53.0,952420.0
Romania,2013,male,15-24 years,134.0,1198610.0
Romania,2013,male,25-34 years,237.0,1438227.0
Romania,2013,male,35-54 years,830.0,2902422.0
Romania,2013,male,5-14 years,8.0,1096591.0
Romania,2013,male,55-74 years,676.0,2052427.0
Romania,2013,male,75+ years,158.0,561583.0
Romania,2014,female,15-24 years,14.0,1087344.0
Romania,2014,female,25-34 years,18.0,1335635.0
Romania,2014,female,35-54 years,91.0,2812215.0
Romania,2014,female,5-14 years,3.0,1035456.0
Romania,2014,female,55-74 years,138.0,2470673.0
Romania,2014,female,75+ years,58.0,976072.0
Romania,2014,male,15-24 years,125.0,1158355.0
Romania,2014,male,25-34 years,230.0,1430960.0
Romania,2014,male,35-54 years,705.0,2917749.0
Romania,2014,male,5-14 years,11.0,1094389.0
Romania,2014,male,55-74 years,644.0,2061013.0
Romania,2014,male,75+ years,172.0,572374.0
Romania,2015,female,15-24 years,15.0,1060311.0
Romania,2015,female,25-34 years,24.0,1307443.0
Romania,2015,female,35-54 years,104.0,2818504.0
Romania,2015,female,5-14 years,4.0,1029722.0
Romania,2015,female,55-74 years,129.0,2467460.0
Romania,2015,female,75+ years,66.0,991307.0
Romania,2015,male,15-24 years,123.0,1126484.0
Romania,2015,male,25-34 years,198.0,1398510.0
Romania,2015,male,35-54 years,734.0,2931496.0
Romania,2015,male,5-14 years,11.0,1088177.0
Romania,2015,male,55-74 years,631.0,2065830.0
Romania,2015,male,75+ years,189.0,578683.0
Romania,2016,female,15-24 years,14.0,1041307.0
Romania,2016,female,25-34 years,27.0,1264645.0
Romania,2016,female,35-54 years,96.0,2823207.0
Romania,2016,female,5-14 years,8.0,1020597.0
Romania,2016,female,55-74 years,112.0,2462909.0
Romania,2016,female,75+ years,61.0,997868.0
Romania,2016,male,15-24 years,91.0,1101638.0
Romania,2016,male,25-34 years,134.0,1359178.0
Romania,2016,male,35-54 years,632.0,2945568.0
Romania,2016,male,5-14 years,8.0,1078281.0
Romania,2016,male,55-74 years,615.0,2068747.0
Romania,2016,male,75+ years,171.0,579838.0
Russian Federation,1980,female,15-24 years,869.0,11983700.0
Russian Federation,1980,female,25-34 years,1203.0,11013000.0
Russian Federation,1980,female,35-54 years,3859.0,19316800.0
Russian Federation,1980,female,5-14 years,39.0,9507900.0
Russian Federation,1980,female,55-74 years,3076.0,14083800.0
Russian Federation,1980,female,75+ years,1103.0,3522000.0
Russian Federation,1980,male,15-24 years,4907.0,12517600.0
