country,year,sex,age,suicides_no,population
Kuwait,1986,female,15-24 years,0.0,152100.0
Kuwait,1986,female,25-34 years,3.0,143000.0
Kuwait,1986,female,35-54 years,1.0,127800.0
Kuwait,1986,female,5-14 years,0.0,198400.0
Kuwait,1986,female,55-74 years,0.0,23400.0
Kuwait,1986,female,75+ years,0.0,3400.0
Kuwait,1986,male,15-24 years,4.0,157400.0
Kuwait,1986,male,25-34 years,5.0,238400.0
Kuwait,1986,male,35-54 years,3.0,246500.0
Kuwait,1986,male,5-14 years,0.0,205000.0
Kuwait,1986,male,55-74 years,0.0,36700.0
Kuwait,1986,male,75+ years,0.0,3200.0
Kuwait,1987,female,15-24 years,1.0,159300.0
Kuwait,1987,female,25-34 years,1.0,150100.0
Kuwait,1987,female,35-54 years,2.0,134100.0
Kuwait,1987,female,5-14 years,0.0,207600.0
Kuwait,1987,female,55-74 years,1.0,24300.0
Kuwait,1987,female,75+ years,0.0,3700.0
Kuwait,1987,male,15-24 years,1.0,164300.0
Kuwait,1987,male,25-34 years,6.0,249500.0
Kuwait,1987,male,35-54 years,4.0,257900.0
Kuwait,1987,male,5-14 years,0.0,213800.0
Kuwait,1987,male,55-74 years,0.0,38400.0
Kuwait,1987,male,75+ years,0.0,3300.0
Kuwait,1993,female,15-24 years,0.0,112300.0
Kuwait,1993,female,25-34 years,4.0,130800.0
Kuwait,1993,female,35-54 years,2.0,123800.0
Kuwait,1993,female,5-14 years,0.0,144300.0
Kuwait,1993,female,55-74 years,0.0,23500.0
Kuwait,1993,female,75+ years,0.0,2800.0
Kuwait,1993,male,15-24 years,1.0,119600.0
Kuwait,1993,male,25-34 years,6.0,207800.0
Kuwait,1993,male,35-54 years,4.0,227100.0
Kuwait,1993,male,5-14 years,0.0,143300.0
Kuwait,1993,male,55-74 years,1.0,35200.0
Kuwait,1993,male,75+ years,0.0,3100.0
Kuwait,1994,female,15-24 years,0.0,111900.0
Kuwait,1994,female,25-34 years,7.0,132800.0
Kuwait,1994,female,35-54 years,5.0,123000.0
Kuwait,1994,female,5-14 years,0.0,149200.0
Kuwait,1994,female,55-74 years,0.0,22500.0
Kuwait,1994,female,75+ years,0.0,2500.0
Kuwait,1994,male,15-24 years,2.0,137100.0
Kuwait,1994,male,25-34 years,8.0,279700.0
Kuwait,1994,male,35-54 years,7.0,289600.0
Kuwait,1994,male,5-14 years,0.0,154600.0
Kuwait,1994,male,55-74 years,1.0,41900.0
Kuwait,1994,male,75+ years,0.0,3200.0
Kuwait,1995,female,15-24 years,1.0,116400.0
Kuwait,1995,female,25-34 years,2.0,138600.0
Kuwait,1995,female,35-54 years,2.0,128200.0
Kuwait,1995,female,5-14 years,0.0,155100.0
Kuwait,1995,female,55-74 years,0.0,23300.0
Kuwait,1995,female,75+ years,0.0,2600.0
Kuwait,1995,male,15-24 years,5.0,142900.0
Kuwait,1995,male,25-34 years,9.0,292900.0
Kuwait,1995,male,35-54 years,7.0,303300.0
Kuwait,1995,male,5-14 years,0.0,160900.0
Kuwait,1995,male,55-74 years,0.0,43700.0
Kuwait,1995,male,75+ years,0.0,3200.0
Kuwait,1996,female,15-24 years,3.0,120600.0
Kuwait,1996,female,25-34 years,8.0,143900.0
Kuwait,1996,female,35-54 years,0.0,133200.0
Kuwait,1996,female,5-14 years,0.0,160800.0
Kuwait,1996,female,55-74 years,0.0,24200.0
Kuwait,1996,female,75+ years,0.0,2700.0
Kuwait,1996,male,15-24 years,1.0,148200.0
Kuwait,1996,male,25-34 years,10.0,304400.0
Kuwait,1996,male,35-54 years,6.0,315300.0
Kuwait,1996,male,5-14 years,0.0,166800.0
Kuwait,1996,male,55-74 years,2.0,45300.0
Kuwait,1996,male,75+ years,0.0,3300.0
Kuwait,1997,female,15-24 years,5.0,124500.0
Kuwait,1997,female,25-34 years,7.0,148300.0
Kuwait,1997,female,35-54 years,5.0,137300.0
Kuwait,1997,female,5-14 years,0.0,165900.0
Kuwait,1997,female,55-74 years,0.0,25000.0
Kuwait,1997,female,75+ years,0.0,2700.0
Kuwait,1997,male,15-24 years,2.0,153000.0
Kuwait,1997,male,25-34 years,10.0,313700.0
Kuwait,1997,male,35-54 years,3.0,324800.0
Kuwait,1997,male,5-14 years,0.0,172100.0
Kuwait,1997,male,55-74 years,1.0,46700.0
Kuwait,1997,male,75+ years,0.0,3500.0
Kuwait,1998,female,15-24 years,3.0,137997.0
Kuwait,1998,female,25-34 years,6.0,176454.0
Kuwait,1998,female,35-54 years,6.0,184143.0
Kuwait,1998,female,5-14 years,0.0,166981.0
Kuwait,1998,female,55-74 years,0.0,32097.0
Kuwait,1998,female,75+ years,0.0,3970.0
Kuwait,1998,male,15-24 years,1.0,151264.0
Kuwait,1998,male,25-34 years,10.0,342775.0
Kuwait,1998,male,35-54 years,8.0,396063.0
Kuwait,1998,male,5-14 years,0.0,173841.0
Kuwait,1998,male,55-74 years,1.0,56327.0
Kuwait,1998,male,75+ years,0.0,3854.0
Kuwait,1999,female,15-24 years,1.0,142800.0
Kuwait,1999,female,25-34 years,7.0,182700.0
Kuwait,1999,female,35-54 years,5.0,190600.0
Kuwait,1999,female,5-14 years,0.0,172800.0
Kuwait,1999,female,55-74 years,0.0,33300.0
Kuwait,1999,female,75+ years,0.0,4200.0
Kuwait,1999,male,15-24 years,2.0,157500.0
Kuwait,1999,male,25-34 years,16.0,357800.0
Kuwait,1999,male,35-54 years,14.0,413600.0
Kuwait,1999,male,5-14 years,1.0,180700.0
Kuwait,1999,male,55-74 years,0.0,58700.0
Kuwait,1999,male,75+ years,0.0,4000.0
Kuwait,2000,female,15-24 years,2.0,147681.0
Kuwait,2000,female,25-34 years,10.0,189015.0
Kuwait,2000,female,35-54 years,2.0,197224.0
Kuwait,2000,female,5-14 years,0.0,178644.0
Kuwait,2000,female,55-74 years,0.0,34331.0
Kuwait,2000,female,75+ years,0.0,4246.0
Kuwait,2000,male,15-24 years,3.0,163848.0
Kuwait,2000,male,25-34 years,11.0,373318.0
Kuwait,2000,male,35-54 years,5.0,431562.0
Kuwait,2000,male,5-14 years,0.0,187983.0
Kuwait,2000,male,55-74 years,1.0,61145.0
Kuwait,2000,male,75+ years,0.0,4156.0
Kuwait,2001,female,15-24 years,0.0,158070.0
Kuwait,2001,female,25-34 years,3.0,197334.0
Kuwait,2001,female,35-54 years,2.0,209093.0
Kuwait,2001,female,5-14 years,0.0,180414.0
Kuwait,2001,female,55-74 years,0.0,38503.0
Kuwait,2001,female,75+ years,0.0,4919.0
Kuwait,2001,male,15-24 years,2.0,172345.0
Kuwait,2001,male,25-34 years,8.0,367180.0
Kuwait,2001,male,35-54 years,15.0,453739.0
Kuwait,2001,male,5-14 years,0.0,189011.0
Kuwait,2001,male,55-74 years,0.0,63433.0
