country,year,sex,age,suicides_no,population
Czech Republic,2000,female,15-24 years,25.0,763848.0
Czech Republic,2000,female,25-34 years,26.0,751117.0
Czech Republic,2000,female,35-54 years,120.0,1487345.0
Czech Republic,2000,female,5-14 years,4.0,600843.0
Czech Republic,2000,female,55-74 years,113.0,1069748.0
Czech Republic,2000,female,75+ years,63.0,380114.0
Czech Republic,2000,male,15-24 years,139.0,797534.0
Czech Republic,2000,male,25-34 years,174.0,783436.0
Czech Republic,2000,male,35-54 years,546.0,1490793.0
Czech Republic,2000,male,5-14 years,8.0,631794.0
Czech Republic,2000,male,55-74 years,294.0,875298.0
Czech Republic,2000,male,75+ years,137.0,187872.0
Czech Republic,2001,female,15-24 years,19.0,745082.0
Czech Republic,2001,female,25-34 years,30.0,772655.0
Czech Republic,2001,female,35-54 years,129.0,1476998.0
Czech Republic,2001,female,5-14 years,2.0,586157.0
Czech Republic,2001,female,55-74 years,92.0,1084169.0
Czech Republic,2001,female,75+ years,57.0,387754.0
Czech Republic,2001,male,15-24 years,133.0,779015.0
Czech Republic,2001,male,25-34 years,172.0,809431.0
Czech Republic,2001,male,35-54 years,558.0,1489505.0
Czech Republic,2001,male,5-14 years,4.0,617745.0
Czech Republic,2001,male,55-74 years,285.0,897842.0
Czech Republic,2001,male,75+ years,142.0,191730.0
Czech Republic,2002,female,15-24 years,26.0,714488.0
Czech Republic,2002,female,25-34 years,30.0,788166.0
Czech Republic,2002,female,35-54 years,108.0,1451319.0
Czech Republic,2002,female,5-14 years,1.0,563932.0
Czech Republic,2002,female,55-74 years,86.0,1105366.0
Czech Republic,2002,female,75+ years,67.0,395065.0
Czech Republic,2002,male,15-24 years,91.0,746413.0
Czech Republic,2002,male,25-34 years,180.0,818936.0
Czech Republic,2002,male,35-54 years,518.0,1458286.0
Czech Republic,2002,male,5-14 years,5.0,592734.0
Czech Republic,2002,male,55-74 years,282.0,921139.0
Czech Republic,2002,male,75+ years,140.0,196619.0
Czech Republic,2003,female,15-24 years,22.0,694102.0
Czech Republic,2003,female,25-34 years,29.0,810207.0
Czech Republic,2003,female,35-54 years,127.0,1431458.0
Czech Republic,2003,female,5-14 years,3.0,544809.0
Czech Republic,2003,female,55-74 years,99.0,1129314.0
Czech Republic,2003,female,75+ years,74.0,403426.0
Czech Republic,2003,male,15-24 years,116.0,726604.0
Czech Republic,2003,male,25-34 years,206.0,842279.0
Czech Republic,2003,male,35-54 years,572.0,1441293.0
Czech Republic,2003,male,5-14 years,6.0,573339.0
Czech Republic,2003,male,55-74 years,307.0,949402.0
Czech Republic,2003,male,75+ years,158.0,202317.0
Czech Republic,2004,female,15-24 years,14.0,676084.0
Czech Republic,2004,female,25-34 years,24.0,829828.0
Czech Republic,2004,female,35-54 years,99.0,1417483.0
Czech Republic,2004,female,5-14 years,3.0,525775.0
Czech Republic,2004,female,55-74 years,95.0,1150600.0
Czech Republic,2004,female,75+ years,62.0,411827.0
Czech Republic,2004,male,15-24 years,110.0,707587.0
Czech Republic,2004,male,25-34 years,193.0,862649.0
Czech Republic,2004,male,35-54 years,540.0,1429901.0
Czech Republic,2004,male,5-14 years,5.0,553266.0
Czech Republic,2004,male,55-74 years,317.0,973192.0
Czech Republic,2004,male,75+ years,121.0,208455.0
Czech Republic,2005,female,15-24 years,16.0,663458.0
Czech Republic,2005,female,25-34 years,33.0,841934.0
Czech Republic,2005,female,35-54 years,109.0,1408555.0
Czech Republic,2005,female,5-14 years,2.0,506842.0
Czech Republic,2005,female,55-74 years,82.0,1171511.0
Czech Republic,2005,female,75+ years,50.0,420901.0
Czech Republic,2005,male,15-24 years,85.0,695191.0
Czech Republic,2005,male,25-34 years,208.0,877897.0
Czech Republic,2005,male,35-54 years,516.0,1427262.0
Czech Republic,2005,male,5-14 years,4.0,534812.0
Czech Republic,2005,male,55-74 years,347.0,998004.0
Czech Republic,2005,male,75+ years,113.0,215366.0
Czech Republic,2006,female,15-24 years,12.0,658122.0
Czech Republic,2006,female,25-34 years,20.0,845584.0
Czech Republic,2006,female,35-54 years,95.0,1401646.0
Czech Republic,2006,female,5-14 years,0.0,488298.0
Czech Republic,2006,female,55-74 years,90.0,1193318.0
Czech Republic,2006,female,75+ years,41.0,430258.0
Czech Republic,2006,male,15-24 years,101.0,690682.0
Czech Republic,2006,male,25-34 years,155.0,884745.0
Czech Republic,2006,male,35-54 years,459.0,1426930.0
